SCORE:     score     fa_atr     fa_rep    fa_intra_rep    lk_nonpolar    fa_elec_rna_phos_phos    ch_bond    rna_torsion    rna_sugar_close    hbond_sr_bb_sc    hbond_lr_bb_sc    hbond_sc    geom_sol    atom_pair_constraint description
SCORE:   -34.809    -17.781      3.051           0.164          0.504                    0.046    -10.057          0.339              0.521            -0.007             0.000     -25.575      13.987                   0.000      S_0001
SCORE:   -33.978    -17.160      2.679           0.164          0.570                    0.046    -10.367          0.343              0.521            -0.007             0.000     -24.571      13.804                   0.000      S_0002
SCORE:   -33.909    -17.172      2.836           0.165          0.483                    0.046    -10.211          0.344              0.512            -0.007             0.000     -24.805      13.900                   0.000      S_0003
SCORE:   -33.958    -17.191      3.163           0.166          0.468                    0.046    -10.265          0.339              0.512            -0.007             0.000     -25.164      13.975                   0.000      S_0004
SCORE:   -35.072    -17.936      3.287           0.165          0.504                    0.046     -9.896          0.345              0.512            -0.007             0.000     -26.767      14.674                   0.000      S_0005
SCORE:   -33.958    -17.191      3.163           0.166          0.468                    0.046    -10.265          0.339              0.512            -0.007             0.000     -25.164      13.975                   0.000      S_0006
SCORE:   -35.072    -17.936      3.287           0.165          0.504                    0.046     -9.896          0.345              0.512            -0.007             0.000     -26.767      14.674                   0.000      S_0007
SCORE:   -34.809    -17.781      3.051           0.164          0.504                    0.046    -10.057          0.339              0.521            -0.007             0.000     -25.575      13.987                   0.000      S_0008
SCORE:   -35.072    -17.936      3.287           0.165          0.504                    0.046     -9.896          0.345              0.512            -0.007             0.000     -26.767      14.674                   0.000      S_0009
SCORE:   -35.072    -17.936      3.287           0.165          0.504                    0.046     -9.896          0.345              0.512            -0.007             0.000     -26.767      14.674                   0.000      S_0010
